INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
191,"Van Horne","Vimy",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295342.335,5041521.858,-73.621048,45.513552
192,"Van Horne","Westbury",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293819.265,5039054.539,-73.640486,45.491328
193,"Van Horne","Wilderton",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295105.591,5041110.648,-73.62407,45.509849
194,"Vézina","Victoria",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293599.567,5039675.892,-73.643311,45.496916
195,"Crémazie","Michel-Jurdant",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295743.954,5046404.929,-73.615998,45.557497
196,"Allard","La Vérendrye",8,"Sud-Ouest","Permanent",298043.227,5034598.652,-73.586384,45.451286
197,"Angers","Église",8,"Sud-Ouest","Permanent",298182.399,5035961.08,-73.584623,45.463547
198,"Angers","Jolicoeur",8,"Sud-Ouest","Permanent",298140.743,5035250.211,-73.585146,45.45715
199,"Desmarchais","Laurendeau",8,"Sud-Ouest","Permanent",297872.548,5035066.789,-73.588573,45.455496
200,"Dante","Saint-Laurent",3,"Rosemont - Petite-Patrie","Permanent",295900.907,5043647.576,-73.613938,45.532688
202,"Drake","Jolicoeur",8,"Sud-Ouest","Permanent",298368.672,5035239.055,-73.582232,45.457051
203,"Eadie","Église",8,"Sud-Ouest","Permanent",297765.378,5035987.149,-73.589956,45.463777
204,"Église","Hadley",8,"Sud-Ouest","Permanent",297579.27,5035998.697,-73.592336,45.463879
205,"Église","Laurendeau",8,"Sud-Ouest","Permanent",297929.49,5035977.01,-73.587858,45.463688
206,"Église","La Vérendrye",8,"Sud-Ouest","Temporaire",298465.418,5035945.382,-73.581004,45.463408
207,"Église","Saint-Patrick",8,"Sud-Ouest","Permanent",297350.682,5036085.006,-73.595261,45.464653
209,"Jacques-Hertel","Laurendeau",8,"Sud-Ouest","Permanent",297898.585,5035494.06,-73.588246,45.459341
210,"Jolicoeur","Laurendeau",8,"Sud-Ouest","Permanent",297883.2435,5035262.08,-73.588439,45.457254
211,"Jolicoeur","La Vérendrye",8,"Sud-Ouest","Permanent",298458.6345,5035234.2025,-73.581082,45.457008
212,"Laurendeau","Le Caron",8,"Sud-Ouest","Permanent",297916.692,5035782.262,-73.588019,45.461935
213,"La Vérendrye","Parc Angrignon",8,"Sud-Ouest","Permanent",297277.633,5033504.3065,-73.596156,45.44143
