INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
202,"Drake","Jolicoeur",8,"Sud-Ouest","Permanent",298368.672,5035239.055,-73.582232,45.457051
203,"Eadie","Église",8,"Sud-Ouest","Permanent",297765.378,5035987.149,-73.589956,45.463777
205,"Église","Laurendeau",8,"Sud-Ouest","Permanent",297929.49,5035977.01,-73.587858,45.463688
211,"Jolicoeur","La Vérendrye",8,"Sud-Ouest","Permanent",298458.6345,5035234.2025,-73.581082,45.457008
218,"Atwater","Delisle",8,"Sud-Ouest","Permanent",298646.761,5038060.434,-73.578712,45.482442
222,"Atwater","Duvernay",8,"Sud-Ouest","Permanent",298757.62,5037858,-73.577291,45.480621
224,"Côte-Saint-Paul","Notre-Dame",8,"Sud-Ouest","Permanent",297502.781,5036604.173,-73.593324,45.469327
227,"Couvent","Saint-Antoine",8,"Sud-Ouest","Permanent",297943.117,5037745.68,-73.587708,45.479603
248,"Notre-Dame","Vinet",8,"Sud-Ouest","Permanent",298980.894,5038166.344,-73.574439,45.483398
9,"Coronation","Côte-Saint-Luc",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",292805.381,5036240.298,-73.653389,45.465988
13,"Côte-Saint-Luc","Marcil/Somerled",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294733.697,5037619.249,-73.628758,45.478426
15,"Côte-Saint-Luc","Rosedale",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",292960.7476,5036471.1398,-73.651408,45.468067
35,"Cavendish","Saint-Jacques",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295086.29,5035736.47,-73.624211,45.461489
36,"Cavendish","Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294714.506,5035985.473,-73.62897,45.463725
37,"Coronation","Monkland/Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294091.528,5035536.083,-73.636926,45.459672
38,"Côte-Saint-Antoine","Décarie",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295944.682,5037381.983,-73.613264,45.476308
43,"Décarie","Monkland inter. Est",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Temporaire",295451.72,5037697.5,-73.619575,45.479141
